footleft,footright,handleft,handright,tongue,attr_method
0.09314147552892127,0.03393889886102475,0.0632585756220454,0.1513391834241231,0.039532780794028,lrp
0.19134949211754027,0.031210944745290625,0.040650432773200684,0.10483159012118204,0.10421970004169712,lrp
0.09222359730534269,0.038434799448001655,0.02998328797822758,0.03510188968719863,0.096948151802839,lrp
0.12942841542296613,0.02569579026025881,0.03182232988780331,0.09563912573714273,0.1883940500055541,lrp
0.1121695840607897,0.03818400847560799,0.03432011954531067,0.08499523531180841,0.09551077341355896,lrp
0.09685470756394032,0.023724578628080195,0.05808709626743358,0.1045398982408674,0.14287356217923275,lrp
0.0999409789702268,0.0571243228743219,0.028997224485491913,0.11519551022781283,0.12036914273678256,lrp
0.09261179675622344,0.02158418507085713,0.03397196867131491,0.05251816786380559,0.09338430339785386,lrp
0.044932120975733625,0.0683754567752084,0.040049160758006686,0.037780646666056406,0.03375455329989663,lrp
0.10022171461597296,0.025704824000821525,0.09260967472689963,0.03717607228406372,0.13855669388331204,lrp
0.07097059865830602,0.07830096687210553,0.05643887991868102,0.0672026693090606,0.0924219302408602,guidedbackprop
0.08274675575490686,0.0923310024360866,0.061515453263695896,0.07012711277313599,0.09225881802588987,guidedbackprop
0.08203544240022254,0.09527777697886819,0.06683684264459444,0.07274670351419932,0.09940589705140823,guidedbackprop
0.0754866071797613,0.0755270544180835,0.059092168713213766,0.06621785678660075,0.08968608922887267,guidedbackprop
0.07005175955205445,0.0791227760614488,0.054255123982331455,0.06581386001600098,0.08658585149582176,guidedbackprop
0.06885267532573369,0.08032073921057137,0.053800163243324484,0.061385988157796945,0.08766359074640562,guidedbackprop
0.07624050130327031,0.08149009955369646,0.05769601994086937,0.06735298245423404,0.09267386922058041,guidedbackprop
0.07407428627523682,0.08109557085179198,0.06307405288039636,0.0685147892846345,0.09318797581516858,guidedbackprop
0.07651148723555856,0.07756127041652938,0.057818980479670934,0.06980468961244224,0.09021585704850388,guidedbackprop
0.0803421506843085,0.08629124496405982,0.06232521453436668,0.06912430300450367,0.09249043408757096,guidedbackprop
