accuracy,algorithm,prct_occluded
1.0,svm,0.0
0.92,svm,0.2
0.79,svm,0.4
0.66,svm,0.6000000000000001
0.48,svm,0.8
0.46,svm,1.0
0.43,svm,1.2000000000000002
0.42,svm,1.4000000000000001
0.42,svm,1.6
0.4,svm,1.8
0.38,svm,2.0
0.36,svm,2.5
0.35,svm,3.0
0.32,svm,3.5
0.3,svm,4.0
0.3,svm,4.5
0.3,svm,5.0
0.29,svm,6.0
0.28,svm,7.0
0.28,svm,8.0
0.29,svm,9.0
0.28,svm,10.0
0.29,svm,12.0
0.3,svm,14.0
0.31,svm,16.0
0.32,svm,18.0
0.3,svm,20.0
0.31,svm,22.0
0.31,svm,24.0
0.31,svm,26.0
0.31,svm,28.0
0.31,svm,30.0
1.0,svm,0.0
0.91,svm,0.2
0.78,svm,0.4
0.62,svm,0.6000000000000001
0.53,svm,0.8
0.46,svm,1.0
0.41,svm,1.2000000000000002
0.41,svm,1.4000000000000001
0.41,svm,1.6
0.4,svm,1.8
0.39,svm,2.0
0.37,svm,2.5
0.36,svm,3.0
0.35,svm,3.5
0.34,svm,4.0
0.33,svm,4.5
0.32,svm,5.0
0.28,svm,6.0
0.28,svm,7.0
0.28,svm,8.0
0.29,svm,9.0
0.28,svm,10.0
0.29,svm,12.0
0.29,svm,14.0
0.31,svm,16.0
0.33,svm,18.0
0.33,svm,20.0
0.32,svm,22.0
0.32,svm,24.0
0.32,svm,26.0
0.31,svm,28.0
0.31,svm,30.0
1.0,svm,0.0
0.91,svm,0.2
0.76,svm,0.4
0.62,svm,0.6000000000000001
0.52,svm,0.8
0.49,svm,1.0
0.45,svm,1.2000000000000002
0.42,svm,1.4000000000000001
0.38,svm,1.6
0.37,svm,1.8
0.36,svm,2.0
0.35,svm,2.5
0.34,svm,3.0
0.3,svm,3.5
0.29,svm,4.0
0.3,svm,4.5
0.3,svm,5.0
0.28,svm,6.0
0.28,svm,7.0
0.28,svm,8.0
0.28,svm,9.0
0.27,svm,10.0
0.28,svm,12.0
0.29,svm,14.0
0.29,svm,16.0
0.32,svm,18.0
0.33,svm,20.0
0.33,svm,22.0
0.33,svm,24.0
0.32,svm,26.0
0.32,svm,28.0
0.32,svm,30.0
1.0,svm,0.0
0.91,svm,0.2
0.77,svm,0.4
0.6,svm,0.6000000000000001
0.54,svm,0.8
0.48,svm,1.0
0.45,svm,1.2000000000000002
0.44,svm,1.4000000000000001
0.42,svm,1.6
0.36,svm,1.8
0.35,svm,2.0
0.33,svm,2.5
0.3,svm,3.0
0.28,svm,3.5
0.27,svm,4.0
0.28,svm,4.5
0.28,svm,5.0
0.28,svm,6.0
0.26,svm,7.0
0.26,svm,8.0
0.26,svm,9.0
0.26,svm,10.0
0.29,svm,12.0
0.29,svm,14.0
0.3,svm,16.0
0.31,svm,18.0
0.31,svm,20.0
0.32,svm,22.0
0.32,svm,24.0
0.31,svm,26.0
0.31,svm,28.0
0.31,svm,30.0
1.0,svm,0.0
0.91,svm,0.2
0.78,svm,0.4
0.6,svm,0.6000000000000001
0.51,svm,0.8
0.44,svm,1.0
0.42,svm,1.2000000000000002
0.4,svm,1.4000000000000001
0.4,svm,1.6
0.39,svm,1.8
0.38,svm,2.0
0.33,svm,2.5
0.32,svm,3.0
0.31,svm,3.5
0.29,svm,4.0
0.28,svm,4.5
0.27,svm,5.0
0.27,svm,6.0
0.27,svm,7.0
0.27,svm,8.0
0.27,svm,9.0
0.27,svm,10.0
0.27,svm,12.0
0.28,svm,14.0
0.31,svm,16.0
0.31,svm,18.0
0.32,svm,20.0
0.32,svm,22.0
0.31,svm,24.0
0.3,svm,26.0
0.3,svm,28.0
0.3,svm,30.0
1.0,svm,0.0
0.92,svm,0.2
0.8,svm,0.4
0.64,svm,0.6000000000000001
0.53,svm,0.8
0.46,svm,1.0
0.43,svm,1.2000000000000002
0.42,svm,1.4000000000000001
0.4,svm,1.6
0.39,svm,1.8
0.38,svm,2.0
0.36,svm,2.5
0.33,svm,3.0
0.29,svm,3.5
0.3,svm,4.0
0.3,svm,4.5
0.28,svm,5.0
0.27,svm,6.0
0.27,svm,7.0
0.27,svm,8.0
0.27,svm,9.0
0.28,svm,10.0
0.29,svm,12.0
0.29,svm,14.0
0.31,svm,16.0
0.31,svm,18.0
0.31,svm,20.0
0.3,svm,22.0
0.31,svm,24.0
0.31,svm,26.0
0.31,svm,28.0
0.31,svm,30.0
1.0,svm,0.0
0.89,svm,0.2
0.75,svm,0.4
0.63,svm,0.6000000000000001
0.51,svm,0.8
0.48,svm,1.0
0.44,svm,1.2000000000000002
0.43,svm,1.4000000000000001
0.38,svm,1.6
0.38,svm,1.8
0.36,svm,2.0
0.31,svm,2.5
0.3,svm,3.0
0.29,svm,3.5
0.28,svm,4.0
0.29,svm,4.5
0.28,svm,5.0
0.27,svm,6.0
0.25,svm,7.0
0.26,svm,8.0
0.26,svm,9.0
0.26,svm,10.0
0.27,svm,12.0
0.27,svm,14.0
0.28,svm,16.0
0.28,svm,18.0
0.3,svm,20.0
0.31,svm,22.0
0.31,svm,24.0
0.31,svm,26.0
0.31,svm,28.0
0.32,svm,30.0
