group,job_type,run_name,test_accuracy,train_acc,valid_acc,valid_loss,best_valid_epoch,best_valid_accuracy,test_loss,train_loss
hp-optimization,hcp-explo,batchsize-8_kernelsize-3_lr-0.001_dropout-0.3_weightdecay-0.001,0.9,0.9266917293233082,0.8439849624060151,0.38304629684217384,23,0.8571428571428571,0.2502746876465001,0.16152742856606242
hp-optimization,hcp-explo,batchsize-8_kernelsize-5_lr-1e-05_dropout-0.5_weightdecay-0.0001,0.85,0.862312030075188,0.7988721804511278,0.5085853598455885,58,0.8176691729323309,0.4248024004821976,0.3807535830577065
hp-optimization,hcp-explo,batchsize-4_kernelsize-7_lr-1e-05_dropout-0.4_weightdecay-0.0001,0.8710526315789474,0.9896616541353384,0.8383458646616542,0.6161873651306908,39,0.8515037593984962,0.35068866119477926,0.03320109675091808
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.0001_dropout-0.5_weightdecay-0.0001,0.8789473684210526,0.9760338345864662,0.8796992481203008,0.27002178088707085,50,0.8834586466165414,0.33926054478312534,0.08323155854709614
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.0001_dropout-0.5_weightdecay-0.001,0.8789473684210526,0.9736842105263158,0.8552631578947368,0.32638359595747557,23,0.8609022556390977,0.32110246643424034,0.07994813035561968
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.0001_dropout-0.3_weightdecay-0.001,0.8868421052631579,0.9920112781954888,0.8646616541353384,0.4332694634795189,21,0.8740601503759399,0.34560295136179775,0.03130798183017869
hp-optimization,hcp-explo,batchsize-32_kernelsize-7_lr-1e-05_dropout-0.5_weightdecay-0.0001,0.85,0.8928571428571429,0.8233082706766918,0.47620662871529074,59,0.8233082706766918,0.38762306918700534,0.2975629898371981
hp-optimization,hcp-explo,batchsize-16_kernelsize-7_lr-0.0001_dropout-0.6_weightdecay-0.001,0.8868421052631579,0.9718045112781954,0.8703007518796992,0.3646817312521093,37,0.8778195488721805,0.33079219681288424,0.07644332034856473
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.0001_dropout-0.5_weightdecay-0.0001,0.8763157894736842,0.993890977443609,0.881578947368421,0.31858070575467806,35,0.8759398496240601,0.33796266792342067,0.030430776786796145
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.0001_dropout-0.5_weightdecay-0.001,0.868421052631579,0.9826127819548872,0.8778195488721805,0.2978919293074047,31,0.8665413533834586,0.31037817398707074,0.05207260195582883
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.7_weightdecay-0.0001,0.8657894736842106,0.9191729323308272,0.8439849624060151,0.3451942783944747,48,0.8665413533834586,0.3770143849154313,0.22138824375040497
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.7_weightdecay-0.0001,0.8736842105263158,0.8895676691729323,0.8383458646616542,0.3379102568416035,41,0.868421052631579,0.30811276845633984,0.22979976158978335
hp-optimization,hcp-explo,batchsize-8_kernelsize-5_lr-1e-05_dropout-0.4_weightdecay-0.0001,0.881578947368421,0.9473684210526316,0.8665413533834586,0.3657995492650835,59,0.8665413533834586,0.30017180513823405,0.15534035728971257
hp-optimization,hcp-explo,batchsize-4_kernelsize-3_lr-0.0001_dropout-0.3_weightdecay-0.0001,0.881578947368421,0.9854323308270676,0.8533834586466166,0.4267901422396546,20,0.8721804511278195,0.3243064564313951,0.04524724028474732
hp-optimization,hcp-explo,batchsize-8_kernelsize-5_lr-0.0001_dropout-0.3_weightdecay-0.01,0.8868421052631579,0.9774436090225564,0.8646616541353384,0.34821123493585127,23,0.8853383458646616,0.3314179348799371,0.06705402565055003
hp-optimization,hcp-explo,batchsize-8_kernelsize-3_lr-0.0001_dropout-0.3_weightdecay-0.0001,0.8710526315789474,0.9891917293233082,0.8740601503759399,0.32727788267796165,17,0.8646616541353384,0.33802954622660764,0.04963245182333546
hp-optimization,hcp-explo,batchsize-32_kernelsize-7_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8657894736842106,0.9036654135338346,0.8214285714285714,0.38783320609261007,23,0.8533834586466166,0.3837054005513589,0.2128978681319685
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.4_weightdecay-0.0001,0.8421052631578947,0.93843984962406,0.8383458646616542,0.33557092179270354,9,0.8665413533834586,0.35032825730741024,0.17204378133834297
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.001_dropout-0.3_weightdecay-0.0001,0.8842105263157894,0.9577067669172932,0.8308270676691729,0.33071394270176396,9,0.8609022556390977,0.33222098407956463,0.11527688253086228
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.4_weightdecay-0.0001,0.8552631578947368,0.93843984962406,0.825187969924812,0.5090747081181582,12,0.8590225563909775,0.33844658856590587,0.1340351278421038
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.0001_dropout-0.5_weightdecay-0.0001,0.8921052631578947,0.9844924812030076,0.8665413533834586,0.35541178099811077,38,0.868421052631579,0.311197546000282,0.060930940294568255
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.0001_dropout-0.7_weightdecay-0.0001,0.8657894736842106,0.8754699248120301,0.8270676691729323,0.396849125623703,58,0.8533834586466166,0.3584021255373955,0.3219329029766481
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.0001,0.868421052631579,0.950187969924812,0.8703007518796992,0.2865942813017789,24,0.8740601503759399,0.2883035410195589,0.13799215224919034
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.0001_dropout-0.5_weightdecay-0.0001,0.8657894736842106,0.9722744360902256,0.8627819548872181,0.29207958291996927,32,0.8721804511278195,0.33685565926134586,0.09274653847070229
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.0001,0.9078947368421052,0.9614661654135338,0.8759398496240601,0.29592883937499104,26,0.8759398496240601,0.21725330501794815,0.11309184239649062
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.001_dropout-0.7_weightdecay-0.0001,0.8631578947368421,0.8759398496240601,0.8289473684210527,0.4911341579521404,17,0.8402255639097744,0.3875473476946354,0.3868216810593928
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.0001_dropout-0.6_weightdecay-0.0001,0.868421052631579,0.93703007518797,0.8571428571428571,0.296123726403012,47,0.8759398496240601,0.30724829124907654,0.17186647987187798
hp-optimization,hcp-explo,batchsize-8_kernelsize-3_lr-0.0001_dropout-0.5_weightdecay-0.001,0.9026315789473685,0.981203007518797,0.8646616541353384,0.32038540189647907,43,0.8796992481203008,0.32019596499352093,0.05991745538092363
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8552631578947368,0.8717105263157895,0.7951127819548872,0.5000082228113624,17,0.8515037593984962,0.3351952042430639,0.31840938077609343
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8473684210526315,0.8801691729323309,0.825187969924812,0.3884854165508467,20,0.8364661654135338,0.3591670620565613,0.2783434173946542
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.7_weightdecay-0.0001,0.8947368421052632,0.9234022556390976,0.8665413533834586,0.3137512917027754,26,0.8703007518796992,0.31049565225839615,0.2146104637589028
hp-optimization,hcp-explo,batchsize-8_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.0001,0.9052631578947368,0.924812030075188,0.868421052631579,0.30810733440117516,19,0.8890977443609023,0.29698984352095675,0.17766024496917712
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8763157894736842,0.8970864661654135,0.8515037593984962,0.34724246096961636,17,0.8627819548872181,0.29997606202960014,0.2206936511106061
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.7_weightdecay-0.0001,0.8631578947368421,0.912593984962406,0.8364661654135338,0.34735113732955036,35,0.8740601503759399,0.33693373079101246,0.2239459368275173
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8763157894736842,0.943609022556391,0.849624060150376,0.3700277608107118,28,0.8778195488721805,0.33405089502533275,0.15345757115465491
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.6_weightdecay-0.0001,0.85,0.9323308270676692,0.8458646616541353,0.3034949066007839,25,0.849624060150376,0.3456840068101883,0.17569737914782851
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.0001_dropout-0.6_weightdecay-0.0001,0.8842105263157894,0.9445488721804512,0.8721804511278195,0.2850887963329168,43,0.8853383458646616,0.2914388074229161,0.15702687696854872
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.6_weightdecay-0.0001,0.8842105263157894,0.9323308270676692,0.8834586466165414,0.29808182839085073,18,0.8796992481203008,0.2792112131913503,0.15561711866019376
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.7_weightdecay-0.001,0.8578947368421053,0.8735902255639098,0.8195488721804511,0.4394266210934695,38,0.8515037593984962,0.3729902394115925,0.2432837874364497
hp-optimization,hcp-explo,batchsize-16_kernelsize-7_lr-0.001_dropout-0.4_weightdecay-0.0001,0.85,0.9102443609022556,0.7857142857142857,0.4852057046750013,19,0.8007518796992481,0.3974136610825856,0.23338580602093748
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.01,0.8473684210526315,0.8637218045112782,0.8233082706766918,0.4189486713970409,12,0.8421052631578947,0.4126221463084221,0.3286793607829222
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.5_weightdecay-0.001,0.8921052631578947,0.9412593984962406,0.8439849624060151,0.3438299359644161,31,0.8721804511278195,0.2301789994041125,0.14535035871302904
hp-optimization,hcp-explo,batchsize-16_kernelsize-5_lr-0.001_dropout-0.6_weightdecay-0.001,0.8657894736842106,0.9093045112781954,0.8571428571428571,0.3498444815768915,18,0.8590225563909775,0.3729596035555005,0.2112004042119908
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.0001,0.9026315789473685,0.961936090225564,0.8327067669172933,0.4777705248664407,41,0.8665413533834586,0.2522641122341156,0.0969348419457674
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.0001,0.8763157894736842,0.9633458646616542,0.868421052631579,0.2547483198782977,22,0.8853383458646616,0.2585585905859868,0.11125113331337472
hp-optimization,hcp-explo,batchsize-32_kernelsize-5_lr-0.001_dropout-0.5_weightdecay-0.0001,0.8736842105263158,0.9530075187969924,0.8458646616541353,0.39568963033311505,48,0.8477443609022557,0.34582865610718727,0.12413638746782917
hp-optimization,hcp-explo,batchsize-32_kernelsize-3_lr-0.001_dropout-0.5_weightdecay-0.1,0.7710526315789473,0.7415413533834586,0.6860902255639098,0.7462888254838831,23,0.7406015037593985,0.6592092787226042,0.669011491448132
hp-optimization,hcp-explo,batchsize-8_kernelsize-3_lr-1e-05_dropout-0.5_weightdecay-0.001,0.8552631578947368,0.8801691729323309,0.8139097744360902,0.4282843752750265,52,0.8233082706766918,0.3742756762852271,0.2918568576118888
hp-optimization,hcp-explo,batchsize-16_kernelsize-3_lr-0.001_dropout-0.3_weightdecay-0.001,0.8842105263157894,0.9534774436090224,0.849624060150376,0.4609515933210359,15,0.8890977443609023,0.28053570290406543,0.14697287633272826
hp-optimization,hcp-explo,batchsize-32_kernelsize-7_lr-0.0001_dropout-0.4_weightdecay-0.001,0.8657894736842106,0.9788533834586466,0.8458646616541353,0.4450436922557214,20,0.8571428571428571,0.3968449532985687,0.0739836008774478
