,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_001,full-hcp_010,-0.334527043773492,0.012411148923860062,-26.953753099390642,1.323725912946363e-16,True
1,full-hcp_001,full-hcp_025,-0.36842934248138726,0.01128644903460147,-32.64351270730712,3.744753638932918e-18,True
2,full-hcp_001,full-hcp_050,-0.3956944477768078,0.011244483862530378,-35.19009432663845,9.187352446263287e-19,True
3,full-hcp_001,full-hcp_075,-0.42830084597559726,0.013874364739599954,-30.869942805608165,1.062318025084406e-17,True
4,full-hcp_001,full-hcp_120,-0.44972362829481655,0.013314978108125963,-33.775769260961525,1.9797254128946104e-18,True
5,full-hcp_001,motor-hcp_001,-0.024331116131875236,0.011816777655821554,-2.0590313908367794,0.05346578869407336,False
6,full-hcp_001,motor-hcp_010,-0.33767816569151843,0.012143859815209698,-27.806494049658742,7.427430095751612e-17,True
7,full-hcp_001,motor-hcp_025,-0.4461707548856631,0.010028773627730865,-44.48906431110807,1.1237202447065957e-20,True
8,full-hcp_001,motor-hcp_050,-0.49866110645548156,0.011201009158262816,-44.51930173520364,1.1094368051008562e-20,True
9,full-hcp_001,motor-hcp_075,-0.5227284476229528,0.01191079044669157,-43.88696534982275,1.4523216736677473e-20,True
10,full-hcp_001,motor-hcp_120,-0.5374877769527391,0.011376718573424259,-47.24453483522899,3.622628383349931e-21,True
11,full-hcp_010,full-hcp_025,-0.03390229870789528,0.009612776417863851,-3.526795717925274,0.002253977762023727,False
12,full-hcp_010,full-hcp_050,-0.061167404003315794,0.009328614977433054,-6.5569652248792,2.808226928903888e-06,True
13,full-hcp_010,full-hcp_075,-0.09377380220210518,0.009641065881692421,-9.726497396950041,8.211414836347065e-09,True
14,full-hcp_010,full-hcp_120,-0.11519658452132446,0.011754520465358355,-9.800194304890558,7.277776733634753e-09,True
15,full-hcp_010,motor-hcp_001,0.31019592764161685,0.011940237775488131,25.979041077256575,2.6186385894543326e-16,True
16,full-hcp_010,motor-hcp_010,-0.0031511219180263895,0.006809204209826466,-0.46277388971224526,0.6487826971986106,False
17,full-hcp_010,motor-hcp_025,-0.11164371111217113,0.009817837908234291,-11.37151704435197,6.391887584475952e-10,True
18,full-hcp_010,motor-hcp_050,-0.16413406268198946,0.010331695017590766,-15.886460295482442,1.9963830890625104e-12,True
19,full-hcp_010,motor-hcp_075,-0.18820140384946077,0.010321294611926548,-18.234282706356304,1.6972310535766792e-13,True
20,full-hcp_010,motor-hcp_120,-0.2029607331792472,0.007888073067650611,-25.730077731100067,3.129263200821515e-16,True
21,full-hcp_025,full-hcp_050,-0.027265105295420505,0.010538120256315717,-2.587283560280113,0.01806856522566065,False
22,full-hcp_025,full-hcp_075,-0.05987150349420991,0.009985242805605846,-5.995998761351829,9.055835523562996e-06,True
23,full-hcp_025,full-hcp_120,-0.08129428581342918,0.012151670470789872,-6.689967935589103,2.1404531138077575e-06,True
24,full-hcp_025,motor-hcp_001,0.34409822634951204,0.012178386255503439,28.25482942734004,5.518541911394819e-17,True
25,full-hcp_025,motor-hcp_010,0.030751176789868894,0.01023753296206481,3.0037682812663378,0.0073005490714558455,False
26,full-hcp_025,motor-hcp_025,-0.07774141240427583,0.007196235542989578,-10.803066678384354,1.4953912204535268e-09,True
27,full-hcp_025,motor-hcp_050,-0.13023176397409414,0.008413566277315763,-15.478782680445331,3.163013189959517e-12,True
28,full-hcp_025,motor-hcp_075,-0.1542991051415655,0.008667860199789988,-17.80129138969085,2.615773950244638e-13,True
29,full-hcp_025,motor-hcp_120,-0.16905843447135188,0.008267997249481216,-20.447325920670764,2.1294771353577072e-14,True
30,full-hcp_050,full-hcp_075,-0.0326063981987894,0.013192118933737765,-2.471657385941329,0.023076424619288827,False
31,full-hcp_050,full-hcp_120,-0.05402918051800867,0.012955873357851205,-4.170246113533304,0.0005194081548332448,True
32,full-hcp_050,motor-hcp_001,0.3713633316449325,0.012375700529465359,30.00745943720535,1.8013708417384882e-17,True
33,full-hcp_050,motor-hcp_010,0.058016282085289396,0.00887447892708308,6.537429697222634,2.9230727749317398e-06,True
34,full-hcp_050,motor-hcp_025,-0.05047630710885533,0.011639932819266492,-4.336477528917231,0.0003555749392315898,True
35,full-hcp_050,motor-hcp_050,-0.10296665867867368,0.011566867774174422,-8.901861825426014,3.311099510262816e-08,True
36,full-hcp_050,motor-hcp_075,-0.127033999846145,0.010465043974976315,-12.13888829802385,2.1327226977379323e-10,True
37,full-hcp_050,motor-hcp_120,-0.14179332917593138,0.012341292539398453,-11.489341875923373,5.380987726850307e-10,True
38,full-hcp_075,full-hcp_120,-0.02142278231921927,0.012169356594170556,-1.7603874250411358,0.09443109153043293,False
39,full-hcp_075,motor-hcp_001,0.4039697298437219,0.012166207541324484,33.204244500315625,2.723903333822713e-18,True
40,full-hcp_075,motor-hcp_010,0.0906226802840788,0.007660972307884357,11.829135603429041,3.2996995905445127e-10,True
41,full-hcp_075,motor-hcp_025,-0.017869908910065922,0.008325273035149648,-2.1464652071611856,0.044961076396220115,False
42,full-hcp_075,motor-hcp_050,-0.07036026047988427,0.009555845246601804,-7.363059851236644,5.617934660038731e-07,True
43,full-hcp_075,motor-hcp_075,-0.0944276016473556,0.009501373023304465,-9.938311169948657,5.814140408874621e-09,True
44,full-hcp_075,motor-hcp_120,-0.10918693097714198,0.00912573244166593,-11.964730686012702,2.722908388761075e-10,True
45,full-hcp_120,motor-hcp_001,0.4253925121629412,0.015701000136962604,27.09333854226909,1.2028327892233986e-16,True
46,full-hcp_120,motor-hcp_010,0.11204546260329806,0.013100167616156929,8.55297931189126,6.12433674349337e-08,True
47,full-hcp_120,motor-hcp_025,0.0035528734091533455,0.012630904112960816,0.2812841723267991,0.7815329251511348,False
48,full-hcp_120,motor-hcp_050,-0.048937478160664995,0.014860604901670906,-3.2931013565378175,0.0038243139610343634,False
49,full-hcp_120,motor-hcp_075,-0.07300481932813632,0.014516473932262164,-5.029101396716363,7.450087501257017e-05,True
50,full-hcp_120,motor-hcp_120,-0.08776414865792272,0.013080993230914103,-6.709287827663659,2.058075418275363e-06,True
51,motor-hcp_001,motor-hcp_010,-0.31334704955964315,0.009257004592986194,-33.84972389416967,1.9003701715048708e-18,True
52,motor-hcp_001,motor-hcp_025,-0.4218396387537878,0.0095574632817366,-44.13719690243363,1.3049146592358324e-20,True
53,motor-hcp_001,motor-hcp_050,-0.47432999032360623,0.007860730786751842,-60.341716717105086,3.571283256635105e-23,True
54,motor-hcp_001,motor-hcp_075,-0.4983973314910776,0.00964703125064569,-51.663285682599934,6.709341944776711e-22,True
55,motor-hcp_001,motor-hcp_120,-0.5131566608208639,0.0115799875322105,-44.31409441447884,1.2102610614443685e-20,True
56,motor-hcp_010,motor-hcp_025,-0.10849258919414476,0.008600782248840215,-12.614269964662178,1.1099411653279323e-10,True
57,motor-hcp_010,motor-hcp_050,-0.16098294076396308,0.0073263256760712344,-21.973216572907074,5.719491678930596e-15,True
58,motor-hcp_010,motor-hcp_075,-0.18505028193143444,0.00678481514049867,-27.27418184570223,1.0632148006546219e-16,True
59,motor-hcp_010,motor-hcp_120,-0.1998096112612208,0.008774141920992712,-22.772552924310823,2.9702270290888206e-15,True
60,motor-hcp_025,motor-hcp_050,-0.052490351569818336,0.0057188832629641055,-9.178426828494574,2.0555144960314975e-08,True
61,motor-hcp_025,motor-hcp_075,-0.07655769273728967,0.007155875257295696,-10.698578438638389,1.7545379637018105e-09,True
62,motor-hcp_025,motor-hcp_120,-0.09131702206707606,0.005385164108021073,-16.957147495479575,6.249635130662567e-13,True
63,motor-hcp_050,motor-hcp_075,-0.024067341167471334,0.006576225098391838,-3.659750207357836,0.001665726818772912,False
64,motor-hcp_050,motor-hcp_120,-0.03882667049725772,0.006968656940967192,-5.571614563059392,2.25440481242629e-05,True
65,motor-hcp_075,motor-hcp_120,-0.014759329329786386,0.008688499652405398,-1.6987201381426411,0.10568811733911763,False
