,input1,input2,input3,input4,mean_diff,sem,t_df19,p,sidak_sig
0,scratch_001,pretrained_001,scratch_010,pretrained_010,-0.01200986930344291,0.019538146112339973,-0.6146882736155644,0.5460522320263124,False
1,scratch_001,pretrained_001,scratch_025,pretrained_025,0.0730466651200066,0.02234678212218545,3.2687777918364045,0.0040395159295969615,False
2,scratch_001,pretrained_001,scratch_050,pretrained_050,0.10655753860811498,0.02035126756359075,5.235916547957474,4.7066640502807726e-05,True
3,scratch_001,pretrained_001,scratch_075,pretrained_075,0.13513314431121992,0.01938919020518411,6.969509447335724,1.2190262820643389e-06,True
4,scratch_001,pretrained_001,scratch_120,pretrained_120,0.11821239805215566,0.026127202636049947,4.524495013830829,0.00023193174049906945,True
5,scratch_010,pretrained_010,scratch_025,pretrained_025,0.08505653442344951,0.02697245856197807,3.1534587115225046,0.005231919711751754,False
6,scratch_010,pretrained_010,scratch_050,pretrained_050,0.11856740791155791,0.021306463633349634,5.564856277978106,2.287781968578507e-05,True
7,scratch_010,pretrained_010,scratch_075,pretrained_075,0.1471430136146628,0.017268914227096942,8.520687037971284,6.488115912747523e-08,True
8,scratch_010,pretrained_010,scratch_120,pretrained_120,0.13022226735559858,0.027952786424097972,4.658650675459479,0.00017118298859377287,True
9,scratch_025,pretrained_025,scratch_050,pretrained_050,0.033510873488108356,0.02456777896683697,1.3640172167513922,0.18850383642521404,False
10,scratch_025,pretrained_025,scratch_075,pretrained_075,0.06208647919121328,0.02135222413995337,2.9077288990723784,0.009024076557879814,False
11,scratch_025,pretrained_025,scratch_120,pretrained_120,0.045165732932149046,0.02382450994068514,1.8957675538592915,0.07330574727420092,False
12,scratch_050,pretrained_050,scratch_075,pretrained_075,0.028575605703104932,0.023809054370948633,1.2001991031601977,0.24481341909336513,False
13,scratch_050,pretrained_050,scratch_120,pretrained_120,0.011654859444040672,0.024139368914558035,0.482815415982637,0.6347430244170348,False
14,scratch_075,pretrained_075,scratch_120,pretrained_120,-0.01692074625906424,0.02374679466798443,-0.7125486405909295,0.4847844597944815,False
