emotion,gambling,language,motor,relational,social,wm
0.8529411764705882,0.9294117647058824,0.8588235294117647,0.825,0.888235294117647,0.8529411764705882,0.9066666666666666
0.8558823529411764,0.9176470588235294,0.8558823529411764,0.8357142857142857,0.8970588235294118,0.8735294117647059,0.8733333333333333
0.8735294117647059,0.9176470588235294,0.861764705882353,0.85,0.888235294117647,0.8558823529411764,0.8866666666666667
0.861764705882353,0.9382352941176471,0.9058823529411765,0.8571428571428571,0.8911764705882353,0.8794117647058823,0.8833333333333333
0.8382352941176471,0.9058823529411765,0.861764705882353,0.825,0.9029411764705882,0.8676470588235294,0.88
0.8794117647058823,0.9117647058823529,0.8794117647058823,0.8357142857142857,0.8823529411764706,0.8647058823529412,0.88
0.8705882352941177,0.9205882352941176,0.8764705882352941,0.8464285714285714,0.8823529411764706,0.8705882352941177,0.9
0.85,0.9029411764705882,0.8705882352941177,0.8357142857142857,0.9,0.8852941176470588,0.8866666666666667
0.8735294117647059,0.9058823529411765,0.8558823529411764,0.8392857142857143,0.8941176470588236,0.8735294117647059,0.9133333333333333
0.8970588235294118,0.9176470588235294,0.8852941176470588,0.8392857142857143,0.9,0.8411764705882353,0.9033333333333333
